"PMID","accumbens","amygdala","angular_gyrus","brainstem","caudate","central_opercular_cortex","cingulate_gyrus_anterior_division","cingulate_gyrus_posterior_division","cuneal_cortex","frontal_medial_cortex","frontal_operculum_cortex","frontal_orbital_cortex","frontal_pole","heschls_gyrus","hippocampus","inferior_frontal_gyrus_pars_opercularis","inferior_frontal_gyrus_pars_triangularis","inferior_temporal_gyrus_anterior_division","inferior_temporal_gyrus_posterior_division","inferior_temporal_gyrus_temporooccipital_part","insular_cortex","intracalcarine_cortex","lateral_occipital_cortex_inferior_division","lateral_occipital_cortex_superior_division","lingual_gyrus","middle_frontal_gyrus","middle_temporal_gyrus_anterior_division","middle_temporal_gyrus_posterior_division","middle_temporal_gyrus_temporooccipital_part","occipital_fusiform_gyrus","occipital_pole","pallidum","paracingulate_gyrus","parahippocampal_gyrus_anterior_division","parahippocampal_gyrus_posterior_division","parietal_operculum_cortex","planum_polare","planum_temporale","postcentral_gyrus","precentral_gyrus","precuneous_cortex","putamen","subcallosal_cortex","superior_frontal_gyrus","superior_parietal_lobule","superior_temporal_gyrus_anterior_division","superior_temporal_gyrus_posterior_division","supplementary_motor_cortex","supracalcarine_cortex","supramarginal_gyrus_anterior_division","supramarginal_gyrus_posterior_division","temporal_fusiform_cortex_anterior_division","temporal_fusiform_cortex_posterior_division","temporal_occipital_fusiform_cortex","temporal_pole","thalamus"
"7811563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7820564","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1"
"7820565","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7846080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"7850422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7864258","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7865775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7922456","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"7925790","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7935791","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7953589","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8027764","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8232848","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8286936","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8350282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8405250","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8410148","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1"
"8441008","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"8480815","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8524452","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
